JobTitle,Gender,Age,PerfEval,Education,Dept,Seniority,BasePay,Bonus,TotalPay
Software Engineer,Male,27,4,Masters,Engineering,1,66084,7769,73853
Financial Analyst,Male,35,4,PhD,Operations,5,98900,7960,106860
IT,Male,19,4,College,Engineering,3,78113,9335,87448
Software Engineer,Male,36,4,Masters,Engineering,5,130826,9694,140520
Sales Associate,Male,23,3,High School,Engineering,3,85928,7229,93157
IT,Male,43,5,College,Operations,4,98515,9090,107605
Graphic Designer,Female,48,4,College,Administration,4,103133,7793,110926
Marketing Associate,Female,20,4,College,Sales,4,69254,8609,77863
Graphic Designer,Male,27,4,College,Sales,5,114680,8472,123152
Driver,Male,25,3,PhD,Engineering,5,92687,7634,100321
Graphic Designer,Male,21,3,Masters,Engineering,4,72301,8391,80692
Financial Analyst,Male,24,4,Masters,Administration,1,67749,8517,76266
Data Scientist,Female,61,5,Masters,Management,2,97000,7757,104757
Manager,Male,52,5,High School,Operations,2,104526,7253,111779
Data Scientist,Male,26,4,High School,Management,3,80494,8449,88943
Financial Analyst,Female,30,4,High School,Operations,2,40341,7320,47661
Software Engineer,Male,29,4,High School,Engineering,1,74316,8761,83077
IT,Female,46,5,PhD,Sales,3,102247,8307,110554
Driver,Male,49,4,College,Sales,5,104657,6839,111496
Warehouse Associate,Female,37,3,High School,Engineering,5,92722,8010,100732
Sales Associate,Female,51,5,Masters,Management,1,72120,9084,81204
Warehouse Associate,Female,28,4,Masters,Operations,1,62260,7740,70000
Manager,Male,45,5,High School,Engineering,3,123422,8894,132316
Warehouse Associate,Male,48,5,College,Sales,1,62097,7075,69172
Data Scientist,Male,53,5,High School,Management,2,102910,8335,111245
Data Scientist,Female,29,4,High School,Engineering,3,84021,9111,93132
Warehouse Associate,Female,19,4,High School,Operations,1,37026,8636,45662
Driver,Male,18,3,PhD,Operations,3,56318,8407,64725
IT,Male,28,4,High School,Operations,3,64958,7910,72868
Data Scientist,Female,31,4,High School,Operations,2,55954,7999,63953
Graphic Designer,Female,58,4,PhD,Sales,3,108820,7776,116596
IT,Female,41,5,High School,Operations,3,100014,8621,108635
Driver,Male,36,4,PhD,Operations,3,88213,8581,96794
Sales Associate,Female,34,3,High School,Sales,4,108288,7491,115779
Driver,Male,56,5,Masters,Sales,5,100859,8388,109247
Financial Analyst,Female,30,4,Masters,Administration,5,114007,9248,123255
Warehouse Associate,Male,37,4,High School,Management,3,83025,8105,91130
IT,Male,28,4,High School,Administration,5,95964,9147,105111
Warehouse Associate,Female,47,4,College,Administration,2,94973,7885,102858
Graphic Designer,Male,44,4,High School,Sales,4,102108,8339,110447
Data Scientist,Male,24,4,Masters,Sales,2,60736,7873,68609
IT,Male,47,5,PhD,Operations,1,82126,6971,89097
Financial Analyst,Male,33,5,Masters,Operations,1,69878,8389,78267
IT,Female,22,4,Masters,Sales,1,37780,8443,46223
Graphic Designer,Male,57,4,Masters,Management,4,132873,7266,140139
Financial Analyst,Male,20,4,High School,Operations,2,65164,7827,72991
IT,Female,65,5,Masters,Administration,4,121210,7949,129159
Graphic Designer,Female,49,4,PhD,Engineering,2,95169,7415,102584
Sales Associate,Male,19,3,PhD,Management,4,94492,8209,102701
Driver,Female,39,4,PhD,Operations,2,75901,7402,83303
Sales Associate,Male,33,3,Masters,Operations,5,100463,6332,106795
Sales Associate,Female,40,4,Masters,Operations,5,92276,9551,101827
Driver,Female,21,2,College,Engineering,5,92458,6966,99424
Graphic Designer,Male,46,4,High School,Administration,4,88571,7464,96035
Financial Analyst,Male,39,4,PhD,Management,3,87409,7168,94577
Warehouse Associate,Male,58,5,College,Sales,4,133927,8278,142205
Manager,Male,33,4,Masters,Sales,1,90482,7094,97576
Marketing Associate,Female,27,4,High School,Sales,4,87435,9230,96665
Graphic Designer,Female,65,5,High School,Operations,4,130251,7750,138001
Manager,Female,34,3,Masters,Management,2,106560,7257,113817
Software Engineer,Male,56,5,College,Operations,3,107366,7774,115140
Warehouse Associate,Female,34,4,High School,Sales,1,56172,7739,63911
Marketing Associate,Female,35,4,Masters,Sales,2,58807,7316,66123
Financial Analyst,Female,49,4,Masters,Sales,4,126626,7144,133770
Manager,Female,24,3,PhD,Sales,3,104202,8456,112658
Warehouse Associate,Male,39,4,PhD,Operations,3,77793,8093,85886
Warehouse Associate,Male,45,4,High School,Operations,2,84930,6914,91844
Driver,Male,32,3,Masters,Engineering,2,69367,6378,75745
Graphic Designer,Male,65,5,Masters,Operations,5,116751,8505,125256
Software Engineer,Male,52,4,Masters,Administration,5,139841,7641,147482
Driver,Female,52,4,College,Administration,2,78750,6666,85416
Warehouse Associate,Female,38,3,College,Administration,5,93306,8265,101571
Financial Analyst,Male,19,4,Masters,Operations,2,60892,8462,69354
Graphic Designer,Male,20,2,Masters,Engineering,5,99543,6111,105654
Sales Associate,Female,29,3,PhD,Operations,2,56745,6495,63240
Data Scientist,Female,29,4,College,Operations,1,59458,7939,67397
Driver,Female,18,2,Masters,Sales,4,71824,6397,78221
Software Engineer,Male,64,5,High School,Operations,2,111903,6824,118727
IT,Male,55,5,College,Sales,3,104361,7813,112174
Warehouse Associate,Female,22,2,High School,Sales,5,91568,7139,98707
Software Engineer,Male,59,4,Masters,Engineering,4,155834,7101,162935
Financial Analyst,Male,30,5,Masters,Sales,1,83620,7864,91484
Marketing Associate,Female,50,5,PhD,Administration,1,81995,7840,89835
Graphic Designer,Female,27,4,PhD,Sales,1,66125,8465,74590
Driver,Male,27,3,College,Engineering,5,89678,7778,97456
Sales Associate,Female,57,5,Masters,Operations,3,98321,8980,107301
Manager,Male,48,4,College,Management,1,109346,7730,117076
Manager,Female,62,4,Masters,Sales,4,155203,7808,163011
IT,Male,64,5,PhD,Management,2,98100,7460,105560
Data Scientist,Female,29,3,High School,Management,4,73306,7765,81071
Driver,Male,40,5,College,Engineering,2,68797,7817,76614
Financial Analyst,Male,58,4,College,Management,4,120154,6751,126905
Warehouse Associate,Female,22,3,College,Sales,4,76865,8145,85010
Graphic Designer,Female,59,4,PhD,Management,4,125770,8013,133783
Financial Analyst,Female,36,4,High School,Administration,5,119931,8400,128331
Marketing Associate,Female,55,4,Masters,Operations,1,71794,6685,78479
Driver,Female,54,4,College,Management,2,87998,7028,95026
Software Engineer,Male,63,4,High School,Administration,5,140445,7905,148350
Warehouse Associate,Male,18,2,College,Administration,5,85306,7735,93041
Sales Associate,Female,31,3,High School,Operations,3,77275,7089,84364
Manager,Male,48,4,PhD,Sales,4,143887,7622,151509
Driver,Female,58,4,High School,Sales,5,130720,7246,137966
Software Engineer,Female,41,4,PhD,Sales,1,86675,7947,94622
Graphic Designer,Female,22,3,College,Operations,2,56954,7550,64504
IT,Male,63,5,Masters,Operations,5,133472,8688,142160
Data Scientist,Male,23,3,Masters,Administration,1,62753,7242,69995
Sales Associate,Male,63,5,PhD,Operations,4,128173,8360,136533
Software Engineer,Female,28,3,College,Engineering,5,112491,8727,121218
Marketing Associate,Female,22,4,PhD,Operations,1,36548,8090,44638
Driver,Female,62,4,PhD,Engineering,1,88781,6413,95194
Software Engineer,Male,65,4,High School,Management,5,157852,6669,164521
Financial Analyst,Male,51,4,PhD,Operations,4,113730,6578,120308
Driver,Male,57,5,College,Management,1,68403,6893,75296
Manager,Male,59,4,PhD,Sales,5,176789,6773,183562
Data Scientist,Female,45,3,Masters,Sales,5,129226,6912,136138
Graphic Designer,Male,24,3,College,Engineering,2,59399,6692,66091
Sales Associate,Male,61,5,PhD,Management,1,102473,8468,110941
Manager,Female,60,4,PhD,Management,3,160614,8354,168968
Sales Associate,Female,28,3,PhD,Sales,3,89570,7411,96981
Marketing Associate,Female,41,4,College,Sales,3,73989,8780,82769
Financial Analyst,Female,35,4,Masters,Management,2,67762,7449,75211
Financial Analyst,Male,35,4,College,Administration,4,90307,7663,97970
Driver,Female,38,3,Masters,Management,2,77751,6554,84305
Data Scientist,Female,57,4,High School,Management,1,87150,6814,93964
Driver,Female,19,2,College,Sales,2,79291,5000,84291
Graphic Designer,Male,55,5,Masters,Engineering,1,79144,8328,87472
Manager,Male,62,5,PhD,Engineering,3,150467,8100,158567
Driver,Female,31,3,Masters,Engineering,2,57070,6615,63685
Marketing Associate,Female,49,4,College,Sales,4,102201,7640,109841
Driver,Male,37,4,College,Engineering,3,70088,8244,78332
Marketing Associate,Female,24,3,PhD,Operations,4,57782,7144,64926
Manager,Male,32,3,High School,Operations,4,117629,6291,123920
Sales Associate,Male,28,3,Masters,Administration,5,118653,7036,125689
Marketing Associate,Female,38,2,High School,Management,5,71772,5764,77536
Software Engineer,Male,65,5,Masters,Sales,1,134758,7500,142258
Marketing Associate,Female,53,5,College,Administration,1,66438,6935,73373
Warehouse Associate,Male,46,3,High School,Operations,4,87134,6184,93318
Marketing Associate,Female,57,4,College,Operations,3,79674,6993,86667
Marketing Associate,Female,45,3,College,Engineering,4,85161,6682,91843
Warehouse Associate,Female,34,2,PhD,Management,5,114479,6700,121179
Marketing Associate,Male,25,3,College,Operations,4,65547,6530,72077
Data Scientist,Female,33,3,High School,Administration,3,71946,6386,78332
Financial Analyst,Male,64,5,High School,Operations,3,96777,7736,104513
Marketing Associate,Female,23,3,PhD,Administration,3,62054,6955,69009
Software Engineer,Male,26,3,High School,Sales,2,61527,6345,67872
Warehouse Associate,Female,24,3,High School,Management,1,64624,8253,72877
Driver,Male,49,4,Masters,Administration,5,118629,6740,125369
Data Scientist,Male,19,2,PhD,Management,5,80171,6454,86625
Sales Associate,Female,47,3,College,Administration,4,105410,6363,111773
Software Engineer,Male,36,4,PhD,Management,3,112134,8587,120721
Warehouse Associate,Female,42,3,Masters,Engineering,1,90005,6631,96636
Marketing Associate,Female,50,5,High School,Operations,1,70374,7466,77840
Manager,Male,21,2,College,Administration,5,121682,7189,128871
Marketing Associate,Female,49,4,PhD,Operations,5,104355,7555,111910
IT,Female,49,4,College,Engineering,1,75811,5520,81331
Sales Associate,Male,48,3,Masters,Engineering,5,113544,6839,120383
Graphic Designer,Female,22,2,Masters,Operations,4,107025,6577,113602
Financial Analyst,Male,20,3,PhD,Operations,3,78564,7875,86439
Financial Analyst,Male,47,5,College,Operations,3,91905,7614,99519
Financial Analyst,Male,60,5,High School,Engineering,4,121728,7932,129660
Marketing Associate,Male,27,4,College,Management,1,54817,6519,61336
Sales Associate,Male,20,3,College,Operations,1,37898,6448,44346
IT,Male,59,5,PhD,Operations,1,79544,6760,86304
Data Scientist,Female,20,3,High School,Engineering,1,40056,7632,47688
IT,Female,45,4,College,Operations,2,70846,7404,78250
Marketing Associate,Female,34,3,High School,Sales,5,79707,7196,86903
Software Engineer,Male,59,4,High School,Operations,4,124817,7268,132085
Manager,Male,53,4,College,Management,1,123114,6946,130060
Financial Analyst,Female,20,3,High School,Operations,3,62377,6999,69376
Data Scientist,Male,28,3,Masters,Sales,3,82850,5794,88644
IT,Female,38,4,High School,Sales,2,75932,7003,82935
Manager,Male,43,3,PhD,Management,2,121949,6739,128688
Marketing Associate,Female,36,3,PhD,Sales,3,82755,7325,90080
Data Scientist,Male,45,3,PhD,Administration,5,122037,8147,130184
Warehouse Associate,Female,19,2,Masters,Administration,2,78021,6970,84991
IT,Male,18,4,PhD,Sales,1,56309,7559,63868
Financial Analyst,Male,59,5,PhD,Management,1,90002,8123,98125
IT,Male,34,3,College,Sales,4,91066,6257,97323
Manager,Male,32,3,Masters,Management,5,118088,7721,125809
Software Engineer,Male,29,3,Masters,Operations,2,92099,7246,99345
Financial Analyst,Female,46,4,College,Administration,4,116758,7744,124502
Marketing Associate,Female,49,5,High School,Sales,2,96500,8092,104592
Manager,Male,48,3,College,Management,5,138851,6929,145780
Marketing Associate,Female,34,4,College,Administration,1,49632,7169,56801
Driver,Female,45,3,PhD,Management,3,76700,7242,83942
IT,Male,58,4,College,Management,5,131275,6997,138272
Manager,Male,21,2,PhD,Operations,3,89648,6573,96221
Graphic Designer,Female,26,2,Masters,Administration,5,100516,6737,107253
Manager,Male,20,2,PhD,Operations,4,112854,6564,119418
Software Engineer,Male,60,4,Masters,Sales,5,155676,6586,162262
Driver,Male,57,4,College,Sales,4,135781,6042,141823
Sales Associate,Female,47,3,College,Engineering,2,84935,6122,91057
Warehouse Associate,Male,31,4,High School,Engineering,2,66407,7522,73929
Driver,Female,56,4,PhD,Sales,3,101249,7329,108578
