HDI rank,Country,Gender Development Index,Human Development Index Female,Mean Years of Schooling Female,Gender Inequality Index
128,Tajikistan,0.926,0.662,10.9,0.258
130,Bangladesh,0.918,0.65,6.2,0.487
130,India,0.874,0.631,5.8,0.403
132,El Salvador,0.983,0.67,7,0.362
135,Cabo Verde,0.964,0.653,5.8,0.298
136,Namibia,1.011,0.668,7.5,0.448
137,Guatemala,0.934,0.638,5.3,0.48
138,Congo,0.924,0.622,7.3,0.565
139,Honduras,0.964,0.633,7,0.437
141,Sao Tome and Principe,0.98,0.633,5.4,0.492
142,Timor-Leste,0.939,0.613,5.8,0.394
143,Ghana,0.933,0.607,6.1,0.514
143,Kenya,0.944,0.61,8,0.526
145,Nepal,0.858,0.567,3.5,0.487
146,Vanuatu,0.952,0.604,6.6,0.556
147,Lao People's Democratic Republic,0.911,0.583,5.1,0.475
148,Angola,0.906,0.584,4.5,0.515
150,Myanmar,0.947,0.589,6.1,0.478
151,Cambodia,0.939,0.586,4.4,0.506
152,Comoros,0.929,0.581,5.2,0.501
153,Zimbabwe,0.944,0.581,8.3,0.519
154,Zambia,0.949,0.58,6.6,0.524
155,Cameroon,0.898,0.556,5.7,0.558
156,Solomon Islands,0.927,0.565,5.5,0.478
157,Côte d'Ivoire,0.91,0.553,4,0.589
157,Uganda,0.908,0.556,5.2,0.524
159,Rwanda,0.922,0.552,4.5,0.394
160,Papua New Guinea,0.926,0.554,4.3,0.584
161,Togo,0.865,0.535,4.5,0.564
162,Syrian Arab Republic,0.787,0.477,5.1,0.49
163,Mauritania,0.886,0.528,4.2,0.603
164,Nigeria,0.892,0.528,6.6,0.677
165,Tanzania (United Republic of),0.951,0.542,5.5,0.504
166,Haiti,0.932,0.534,4.8,0.618
167,Lesotho,1.006,0.55,8.4,0.534
168,Pakistan,0.838,0.485,4,0.536
169,Senegal,0.924,0.509,2.5,0.49
170,Gambia,0.959,0.515,3.9,0.578
171,Congo (Democratic Republic of the),0.886,0.491,6.1,0.604
172,Malawi,0.925,0.497,4.3,0.581
173,Benin,0.866,0.479,2,0.573
174,Guinea-Bissau,0.878,0.485,2.5,0.632
175,Djibouti,0.814,0.453,2.7,0.481
176,Sudan,0.813,0.441,3.6,0.588
177,Liberia,0.865,0.473,4.7,0.646
179,Guinea,0.828,0.451,1.5,0.609
180,Ethiopia,0.886,0.465,1.7,0.497
181,Afghanistan,0.66,0.379,1.2,0.661
182,Mozambique,0.92,0.473,3.7,0.479
183,Madagascar,0.934,0.469,4.3,0.584
184,Yemen,0.407,0.221,3.6,0.838
185,Sierra Leone,0.83,0.423,2.5,0.566
186,Burkina Faso,0.881,0.428,1.6,0.555
187,Burundi,0.932,0.424,2.8,0.501
188,Mali,0.812,0.372,1.1,0.612
188,Niger,0.855,0.385,1,0.591
190,Chad,0.787,0.365,1.3,0.67
192,Somalia,0.793,0.354,0.9,0.675
