Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Niger,NER,2023,350,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Nigeria,NGA,2023,993,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,North Macedonia,MKD,2023,3,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Norway,NOR,2023,1,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Oman,OMN,2023,13,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Pakistan,PAK,2023,155,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Palau,PLW,2023,89,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Panama,PAN,2023,37,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Papua New Guinea,PNG,2023,189,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Paraguay,PRY,2023,58,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Peru,PER,2023,51,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Philippines,PHL,2023,84,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Poland,POL,2023,2,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Portugal,PRT,2023,15,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Puerto Rico (US),PRI,2023,11,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Qatar,QAT,2023,4,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Romania,ROU,2023,12,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Russian Federation,RUS,2023,9,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Rwanda,RWA,2023,229,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Samoa,WSM,2023,101,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,San Marino,SMR,2023,8,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Sao Tome and Principe,STP,2023,75,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Saudi Arabia,SAU,2023,7,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Senegal,SEN,2023,237,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Serbia,SRB,2023,11,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Seychelles,SYC,2023,42,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Sierra Leone,SLE,2023,354,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Singapore,SGP,2023,6,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Slovak Republic,SVK,2023,4,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Slovenia,SVN,2023,3,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Solomon Islands,SLB,2023,123,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Federal Republic of Somalia,SOM,2023,563,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,South Africa,ZAF,2023,118,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,South Sudan,SSD,2023,692,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Spain,ESP,2023,3,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Sri Lanka,LKA,2023,18,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,St. Kitts and Nevis,KNA,2023,74,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,St. Lucia,LCA,2023,44,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,St. Vincent and the Grenadines,VCT,2023,56,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Sudan,SDN,2023,256,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Suriname,SUR,2023,84,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Sweden,SWE,2023,4,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Switzerland,CHE,2023,5,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Syrian Arab Republic,SYR,2023,20,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Tajikistan,TJK,2023,14,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Tanzania,TZA,2023,276,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Thailand,THA,2023,34,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Timor-Leste,TLS,2023,192,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Togo,TGO,2023,349,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Tonga,TON,2023,67,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Trinidad and Tobago,TTO,2023,54,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Tunisia,TUN,2023,36,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Turkiye,TUR,2023,15,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Turkmenistan,TKM,2023,5,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Tuvalu,TUV,2023,170,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Uganda,UGA,2023,170,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Ukraine,UKR,2023,15,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,United Arab Emirates,ARE,2023,3,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,United Kingdom,GBR,2023,8,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,United States,USA,2023,17,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Uruguay,URY,2023,15,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Uzbekistan,UZB,2023,26,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Vanuatu,VUT,2023,100,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,"Venezuela, RB",VEN,2023,227,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Viet Nam,VNM,2023,48,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,West Bank and Gaza,PSE,2023,16,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,"Yemen, Rep.",YEM,2023,118,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Zambia,ZMB,2023,85,"female, Modeled"
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Zimbabwe,ZWE,2023,358,"female, Modeled"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Bahrain,BHR,2023,0,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Barbados,BRB,2023,178.3,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Belize,BLZ,2023,78.83,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,British Virgin Islands,VGB,2023,415,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Bulgaria,BGR,2023,8.742,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Canada,CAN,2023,9.38,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Cayman Islands,CYM,2023,0,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Costa Rica,CRI,2023,7.96,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Cuba,CUB,2023,38.7,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Dominica,DMA,2023,0,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Ecuador,ECU,2023,35.621,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,El Salvador,SLV,2023,26.8,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Grenada,GRD,2023,208.2,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Guatemala,GTM,2023,84,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Honduras,HND,2023,65,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Iraq,IRQ,2023,29.6,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Jamaica,JAM,2023,136.9,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Lesotho,LSO,2023,530,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Paraguay,PRY,2023,84.6,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Senegal,SEN,2023,153,"female, National"
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,St. Kitts and Nevis,KNA,2023,207.9,"female, National"
